"OTU","Sample","Abundance","diet","site","subject_id","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Genus_plot"
"2733097","SRR8146969",4.51298956125893e-05,"omnivore","Turin","VOV39","k__","p__Uroviricota","c__Caudoviricetes","o__Crassvirales","f__Suoliviridae","g__Brigitvirus","Other"
"40544","SRR8146976",4.42832207186429e-05,"omnivore","Turin","VOV70","k__","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","Other"
"39948","SRR8146971",4.34176439656711e-05,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Dialister","Other"
"990721","SRR8146963",4.31788799398544e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenella","Other"
"33024","SRR8146963",4.06389458257453e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","Other"
"2974257","SRR8146969",3.92433874892081e-05,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Hoylesella","Other"
"2719313","SRR8146971",3.85934613028188e-05,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Enterocloster","Other"
"2733097","SRR8146963",3.80990117116362e-05,"vegan","Turin","VOV56","k__","p__Uroviricota","c__Caudoviricetes","o__Crassvirales","f__Suoliviridae","g__Brigitvirus","Other"
"239934","SRR8146971",3.61813699713926e-05,"omnivore","Turin","VOV28","k__","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","g__Akkermansia"
"283168","SRR8146971",3.61813699713926e-05,"omnivore","Turin","VOV28","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Odoribacter","Other"
"292632","SRR8146963",3.55590775975271e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Subdoligranulum","Other"
"1649459","SRR8146969",3.33568793658269e-05,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","Other"
"1912216","SRR8146969",3.33568793658269e-05,"omnivore","Turin","VOV39","k__","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Other"
"32207","SRR8146969",3.33568793658269e-05,"omnivore","Turin","VOV39","k__","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Micrococcaceae","g__Rothia","Other"
